donor	method	state	gene	fields	eligible	called	correct	allele_matches	stratum	family
HG02132	ipd_genome	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	ipd_genome	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	all	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	all	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	all	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	all	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02178	T1K	complete	A	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	B	2	1	1	0	1	EAS	HG02178
HG02178	T1K	complete	C	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DPA1	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DPB1	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DQA1	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DQB1	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DRB1	2	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	A	4	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	B	4	1	0	0	1	EAS	HG02178
HG02178	T1K	complete	C	4	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DPA1	4	0	0	0	0	EAS	HG02178
HG02178	T1K	complete	DPB1	4	1	1	0	0	EAS	HG02178
HG02178	T1K	complete	DQA1	4	1	1	0	1	EAS	HG02178
HG02178	T1K	complete	DQB1	4	1	1	1	2	EAS	HG02178
HG02178	T1K	complete	DRB1	4	0	0	0	0	EAS	HG02178
HG02178	ipd_genome	complete	A	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	B	2	1	1	0	1	EAS	HG02178
HG02178	ipd_genome	complete	C	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DPA1	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DPB1	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DQA1	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DQB1	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DRB1	2	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	A	4	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	B	4	1	0	0	1	EAS	HG02178
HG02178	ipd_genome	complete	C	4	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DPA1	4	0	0	0	0	EAS	HG02178
HG02178	ipd_genome	complete	DPB1	4	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DQA1	4	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DQB1	4	1	1	1	2	EAS	HG02178
HG02178	ipd_genome	complete	DRB1	4	0	0	0	0	EAS	HG02178
HG02178	all	complete	A	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	B	2	1	1	0	1	EAS	HG02178
HG02178	all	complete	C	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	DPA1	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	DPB1	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	DQA1	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	DQB1	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	DRB1	2	1	1	1	2	EAS	HG02178
HG02178	all	complete	A	4	1	1	1	2	EAS	HG02178
HG02178	all	complete	B	4	1	0	0	1	EAS	HG02178
HG02178	all	complete	C	4	1	1	1	2	EAS	HG02178
HG02178	all	complete	DPA1	4	0	0	0	0	EAS	HG02178
HG02178	all	complete	DPB1	4	1	1	1	2	EAS	HG02178
HG02178	all	complete	DQA1	4	1	1	1	2	EAS	HG02178
HG02178	all	complete	DQB1	4	1	1	1	2	EAS	HG02178
HG02178	all	complete	DRB1	4	0	0	0	0	EAS	HG02178
HG03831	T1K	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DRB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	B	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	C	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	T1K	complete	DPB1	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DQA1	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	ipd_genome	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	ipd_genome	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	all	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	all	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	all	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03874	T1K	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	C	4	1	1	0	1	SAS	HG03874
HG03874	T1K	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	T1K	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	T1K	complete	DQB1	4	1	1	0	1	SAS	HG03874
HG03874	T1K	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	ipd_genome	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	all	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	all	complete	DQB1	4	1	1	1	2	SAS	HG03874
HG03874	all	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG04199	T1K	complete	A	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	B	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	C	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DPA1	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DPB1	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DQA1	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DQB1	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DRB1	2	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	A	4	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	B	4	0	0	0	0	SAS	HG04099
HG04199	T1K	complete	C	4	1	1	0	1	SAS	HG04099
HG04199	T1K	complete	DPA1	4	0	0	0	0	SAS	HG04099
HG04199	T1K	complete	DPB1	4	1	1	0	0	SAS	HG04099
HG04199	T1K	complete	DQA1	4	1	1	1	2	SAS	HG04099
HG04199	T1K	complete	DQB1	4	1	1	0	1	SAS	HG04099
HG04199	T1K	complete	DRB1	4	0	0	0	0	SAS	HG04099
HG04199	ipd_genome	complete	A	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	B	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	C	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DRB1	2	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	A	4	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	B	4	0	0	0	0	SAS	HG04099
HG04199	ipd_genome	complete	C	4	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	HG04099
HG04199	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DQA1	4	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	HG04099
HG04199	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	HG04099
HG04199	all	complete	A	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	B	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	C	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	DPA1	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	DPB1	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	DQA1	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	DQB1	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	DRB1	2	1	1	1	2	SAS	HG04099
HG04199	all	complete	A	4	1	1	1	2	SAS	HG04099
HG04199	all	complete	B	4	0	0	0	0	SAS	HG04099
HG04199	all	complete	C	4	1	1	1	2	SAS	HG04099
HG04199	all	complete	DPA1	4	0	0	0	0	SAS	HG04099
HG04199	all	complete	DPB1	4	1	1	1	2	SAS	HG04099
HG04199	all	complete	DQA1	4	1	1	1	2	SAS	HG04099
HG04199	all	complete	DQB1	4	1	1	1	2	SAS	HG04099
HG04199	all	complete	DRB1	4	0	0	0	0	SAS	HG04099
NA18608	T1K	complete	A	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	B	2	1	1	0	1	EAS	NA18608
NA18608	T1K	complete	C	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DPA1	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DPB1	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DQA1	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DQB1	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DRB1	2	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	A	4	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	B	4	1	1	0	0	EAS	NA18608
NA18608	T1K	complete	C	4	1	1	1	2	EAS	NA18608
NA18608	T1K	complete	DPA1	4	0	0	0	0	EAS	NA18608
NA18608	T1K	complete	DPB1	4	1	1	0	0	EAS	NA18608
NA18608	T1K	complete	DQA1	4	1	1	0	0	EAS	NA18608
NA18608	T1K	complete	DQB1	4	0	0	0	0	EAS	NA18608
NA18608	T1K	complete	DRB1	4	0	0	0	0	EAS	NA18608
NA18608	ipd_genome	complete	A	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	B	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	C	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DPA1	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DPB1	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DQA1	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DQB1	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DRB1	2	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	A	4	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	B	4	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	C	4	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DPA1	4	0	0	0	0	EAS	NA18608
NA18608	ipd_genome	complete	DPB1	4	1	1	1	2	EAS	NA18608
NA18608	ipd_genome	complete	DQA1	4	1	1	0	1	EAS	NA18608
NA18608	ipd_genome	complete	DQB1	4	0	0	0	0	EAS	NA18608
NA18608	ipd_genome	complete	DRB1	4	0	0	0	0	EAS	NA18608
NA18608	all	complete	A	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	B	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	C	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	DPA1	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	DPB1	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	DQA1	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	DQB1	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	DRB1	2	1	1	1	2	EAS	NA18608
NA18608	all	complete	A	4	1	1	1	2	EAS	NA18608
NA18608	all	complete	B	4	1	1	1	2	EAS	NA18608
NA18608	all	complete	C	4	1	1	1	2	EAS	NA18608
NA18608	all	complete	DPA1	4	0	0	0	0	EAS	NA18608
NA18608	all	complete	DPB1	4	1	1	1	2	EAS	NA18608
NA18608	all	complete	DQA1	4	1	1	0	1	EAS	NA18608
NA18608	all	complete	DQB1	4	0	0	0	0	EAS	NA18608
NA18608	all	complete	DRB1	4	0	0	0	0	EAS	NA18608
NA20905	T1K	complete	A	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	B	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	C	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	DPA1	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	DPB1	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	DQA1	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	DQB1	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	DRB1	2	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	A	4	1	1	1	2	SAS	NA20905
NA20905	T1K	complete	B	4	0	0	0	0	SAS	NA20905
NA20905	T1K	complete	C	4	1	1	0	0	SAS	NA20905
NA20905	T1K	complete	DPA1	4	0	0	0	0	SAS	NA20905
NA20905	T1K	complete	DPB1	4	1	1	0	1	SAS	NA20905
NA20905	T1K	complete	DQA1	4	1	1	0	1	SAS	NA20905
NA20905	T1K	complete	DQB1	4	1	1	0	1	SAS	NA20905
NA20905	T1K	complete	DRB1	4	0	0	0	0	SAS	NA20905
NA20905	ipd_genome	complete	A	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	B	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	C	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DRB1	2	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	A	4	1	1	0	1	SAS	NA20905
NA20905	ipd_genome	complete	B	4	0	0	0	0	SAS	NA20905
NA20905	ipd_genome	complete	C	4	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	NA20905
NA20905	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DQA1	4	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	NA20905
NA20905	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	NA20905
NA20905	all	complete	A	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	B	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	C	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	DPA1	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	DPB1	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	DQA1	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	DQB1	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	DRB1	2	1	1	1	2	SAS	NA20905
NA20905	all	complete	A	4	1	1	0	1	SAS	NA20905
NA20905	all	complete	B	4	0	0	0	0	SAS	NA20905
NA20905	all	complete	C	4	1	1	1	2	SAS	NA20905
NA20905	all	complete	DPA1	4	0	0	0	0	SAS	NA20905
NA20905	all	complete	DPB1	4	1	1	1	2	SAS	NA20905
NA20905	all	complete	DQA1	4	1	1	1	2	SAS	NA20905
NA20905	all	complete	DQB1	4	1	1	1	2	SAS	NA20905
NA20905	all	complete	DRB1	4	0	0	0	0	SAS	NA20905
HG02027	T1K	complete	A	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	B	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	C	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	DPA1	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	DPB1	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	DQA1	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	DQB1	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	DRB1	2	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	A	4	1	1	1	2	EAS	HG02027
HG02027	T1K	complete	B	4	0	0	0	0	EAS	HG02027
HG02027	T1K	complete	C	4	1	1	1	2	EAS	HG02027
