method	truth	level	gene	correct	n	called	accuracy
native/F-native	A	three_field	DRB1	6	7	7	0.8571
native/F-native	A	two_field	A	8	8	8	1.0000
native/F-native	A	two_field	ALL	61	63	63	0.9683
native/F-native	A	two_field	B	8	8	8	1.0000
native/F-native	A	two_field	C	7	7	7	1.0000
native/F-native	A	two_field	DPA1	7	8	8	0.8750
native/F-native	A	two_field	DPB1	7	8	8	0.8750
native/F-native	A	two_field	DQA1	8	8	8	1.0000
native/F-native	A	two_field	DQB1	8	8	8	1.0000
native/F-native	A	two_field	DRB1	8	8	8	1.0000
native/F-native	B	g_group	A	2	2	2	1.0000
native/F-native	B	g_group	ALL	10	10	10	1.0000
native/F-native	B	g_group	B	2	2	2	1.0000
native/F-native	B	g_group	C	2	2	2	1.0000
native/F-native	B	g_group	DQB1	2	2	2	1.0000
native/F-native	B	g_group	DRB1	2	2	2	1.0000
native/F-native	B	two_field	A	2	2	2	1.0000
native/F-native	B	two_field	ALL	10	10	10	1.0000
native/F-native	B	two_field	B	2	2	2	1.0000
native/F-native	B	two_field	C	2	2	2	1.0000
native/F-native	B	two_field	DQB1	2	2	2	1.0000
native/F-native	B	two_field	DRB1	2	2	2	1.0000
native/F-native-G	A	g_group	A	8	8	8	1.0000
native/F-native-G	A	g_group	ALL	62	63	62	0.9841
native/F-native-G	A	g_group	B	8	8	8	1.0000
native/F-native-G	A	g_group	C	7	7	7	1.0000
native/F-native-G	A	g_group	DPA1	8	8	8	1.0000
native/F-native-G	A	g_group	DPB1	8	8	8	1.0000
native/F-native-G	A	g_group	DQA1	8	8	8	1.0000
native/F-native-G	A	g_group	DQB1	8	8	8	1.0000
native/F-native-G	A	g_group	DRB1	7	8	7	0.8750
native/F-native-G	A	three_field	A	8	8	8	1.0000
native/F-native-G	A	three_field	ALL	52	62	62	0.8387
native/F-native-G	A	three_field	B	7	8	8	0.8750
native/F-native-G	A	three_field	C	5	7	7	0.7143
native/F-native-G	A	three_field	DPA1	8	8	8	1.0000
native/F-native-G	A	three_field	DPB1	7	8	8	0.8750
native/F-native-G	A	three_field	DQA1	4	8	8	0.5000
native/F-native-G	A	three_field	DQB1	7	8	8	0.8750
native/F-native-G	A	three_field	DRB1	6	7	7	0.8571
native/F-native-G	A	two_field	A	8	8	8	1.0000
native/F-native-G	A	two_field	ALL	56	63	63	0.8889
native/F-native-G	A	two_field	B	8	8	8	1.0000
native/F-native-G	A	two_field	C	6	7	7	0.8571
native/F-native-G	A	two_field	DPA1	8	8	8	1.0000
native/F-native-G	A	two_field	DPB1	7	8	8	0.8750
native/F-native-G	A	two_field	DQA1	4	8	8	0.5000
native/F-native-G	A	two_field	DQB1	7	8	8	0.8750
native/F-native-G	A	two_field	DRB1	8	8	8	1.0000
native/F-native-G	B	g_group	A	2	2	2	1.0000
native/F-native-G	B	g_group	ALL	10	10	10	1.0000
native/F-native-G	B	g_group	B	2	2	2	1.0000
native/F-native-G	B	g_group	C	2	2	2	1.0000
native/F-native-G	B	g_group	DQB1	2	2	2	1.0000
native/F-native-G	B	g_group	DRB1	2	2	2	1.0000
native/F-native-G	B	two_field	A	2	2	2	1.0000
native/F-native-G	B	two_field	ALL	10	10	10	1.0000
native/F-native-G	B	two_field	B	2	2	2	1.0000
native/F-native-G	B	two_field	C	2	2	2	1.0000
native/F-native-G	B	two_field	DQB1	2	2	2	1.0000
native/F-native-G	B	two_field	DRB1	2	2	2	1.0000
native/F-pg	A	g_group	A	8	8	8	1.0000
native/F-pg	A	g_group	ALL	58	63	63	0.9206
native/F-pg	A	g_group	B	8	8	8	1.0000
native/F-pg	A	g_group	C	7	7	7	1.0000
native/F-pg	A	g_group	DPA1	7	8	8	0.8750
native/F-pg	A	g_group	DPB1	7	8	8	0.8750
native/F-pg	A	g_group	DQA1	8	8	8	1.0000
native/F-pg	A	g_group	DQB1	8	8	8	1.0000
native/F-pg	A	g_group	DRB1	5	8	8	0.6250
native/F-pg	A	three_field	A	8	8	8	1.0000
native/F-pg	A	three_field	ALL	54	62	59	0.8710
native/F-pg	A	three_field	B	7	8	7	0.8750
native/F-pg	A	three_field	C	7	7	7	1.0000
native/F-pg	A	three_field	DPA1	7	8	8	0.8750
native/F-pg	A	three_field	DPB1	6	8	7	0.7500
native/F-pg	A	three_field	DQA1	7	8	8	0.8750
native/F-pg	A	three_field	DQB1	8	8	8	1.0000
native/F-pg	A	three_field	DRB1	4	7	6	0.5714
native/F-pg	A	two_field	A	8	8	8	1.0000
native/F-pg	A	two_field	ALL	55	63	63	0.8730
native/F-pg	A	two_field	B	7	8	8	0.8750
native/F-pg	A	two_field	C	7	7	7	1.0000
native/F-pg	A	two_field	DPA1	8	8	8	1.0000
native/F-pg	A	two_field	DPB1	6	8	8	0.7500
native/F-pg	A	two_field	DQA1	7	8	8	0.8750
native/F-pg	A	two_field	DQB1	8	8	8	1.0000
native/F-pg	A	two_field	DRB1	4	8	8	0.5000
native/F-pg	B	g_group	A	2	2	2	1.0000
native/F-pg	B	g_group	ALL	10	10	10	1.0000
native/F-pg	B	g_group	B	2	2	2	1.0000
native/F-pg	B	g_group	C	2	2	2	1.0000
native/F-pg	B	g_group	DQB1	2	2	2	1.0000
native/F-pg	B	g_group	DRB1	2	2	2	1.0000
native/F-pg	B	two_field	A	2	2	2	1.0000
native/F-pg	B	two_field	ALL	9	10	10	0.9000
native/F-pg	B	two_field	B	1	2	2	0.5000
native/F-pg	B	two_field	C	2	2	2	1.0000
native/F-pg	B	two_field	DQB1	2	2	2	1.0000
native/F-pg	B	two_field	DRB1	2	2	2	1.0000
A/sequence	A	exact_gene_haplotypes	A	15	16	7	0.9375
A/sequence	A	mean_edit_distance	A	8	16	7	0.5
A/sequence	A	exact_gene_haplotypes	ALL	51	128	20	0.3984
A/sequence	A	mean_edit_distance	ALL	60375	128	20	471.7
A/sequence	A	exact_gene_haplotypes	B	8	16	2	0.5000
A/sequence	A	mean_edit_distance	B	124	16	2	7.8
A/sequence	A	exact_gene_haplotypes	C	13	16	6	0.8125
A/sequence	A	mean_edit_distance	C	12	16	6	0.8
A/sequence	A	exact_gene_haplotypes	DPA1	7	16	3	0.4375
A/sequence	A	mean_edit_distance	DPA1	379	16	3	23.7
A/sequence	A	exact_gene_haplotypes	DPB1	1	16	0	0.0625
A/sequence	A	mean_edit_distance	DPB1	557	16	0	34.8
A/sequence	A	exact_gene_haplotypes	DQA1	7	16	2	0.4375
A/sequence	A	mean_edit_distance	DQA1	2265	16	2	141.6
A/sequence	A	exact_gene_haplotypes	DQB1	0	16	0	0.0000
A/sequence	A	mean_edit_distance	DQB1	6548	16	0	409.2
A/sequence	A	exact_gene_haplotypes	DRB1	0	16	0	0.0000
A/sequence	A	mean_edit_distance	DRB1	50482	16	0	3155.1
AD/sequence	A	exact_gene_haplotypes	A	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	A	7020	2	0	3510.0
AD/sequence	A	exact_gene_haplotypes	ALL	0	16	0	0.0000
AD/sequence	A	mean_edit_distance	ALL	115870	16	0	7241.9
AD/sequence	A	exact_gene_haplotypes	B	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	B	8165	2	0	4082.5
AD/sequence	A	exact_gene_haplotypes	C	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	C	8586	2	0	4293.0
AD/sequence	A	exact_gene_haplotypes	DPA1	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	DPA1	19445	2	0	9722.5
AD/sequence	A	exact_gene_haplotypes	DPB1	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	DPB1	22996	2	0	11498.0
AD/sequence	A	exact_gene_haplotypes	DQA1	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	DQA1	12970	2	0	6485.0
AD/sequence	A	exact_gene_haplotypes	DQB1	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	DQB1	14213	2	0	7106.5
AD/sequence	A	exact_gene_haplotypes	DRB1	0	2	0	0.0000
AD/sequence	A	mean_edit_distance	DRB1	22475	2	0	11237.5
native/sequence	A	exact_gene_haplotypes	A	13	16	6	0.8125
native/sequence	A	mean_edit_distance	A	74	16	6	4.6
native/sequence	A	exact_gene_haplotypes	ALL	41	128	16	0.3203
native/sequence	A	mean_edit_distance	ALL	80370	128	16	627.9
native/sequence	A	exact_gene_haplotypes	B	3	16	1	0.1875
native/sequence	A	mean_edit_distance	B	529	16	1	33.1
native/sequence	A	exact_gene_haplotypes	C	10	16	4	0.6250
native/sequence	A	mean_edit_distance	C	60	16	4	3.8
native/sequence	A	exact_gene_haplotypes	DPA1	7	16	3	0.4375
native/sequence	A	mean_edit_distance	DPA1	387	16	3	24.2
native/sequence	A	exact_gene_haplotypes	DPB1	1	16	0	0.0625
native/sequence	A	mean_edit_distance	DPB1	685	16	0	42.8
native/sequence	A	exact_gene_haplotypes	DQA1	7	16	2	0.4375
native/sequence	A	mean_edit_distance	DQA1	2626	16	2	164.1
native/sequence	A	exact_gene_haplotypes	DQB1	0	16	0	0.0000
native/sequence	A	mean_edit_distance	DQB1	7643	16	0	477.7
native/sequence	A	exact_gene_haplotypes	DRB1	0	16	0	0.0000
native/sequence	A	mean_edit_distance	DRB1	68366	16	0	4272.9
